Time: 969.7533316612244
         906194041 function calls (896892143 primitive calls) in 1000.890 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       75    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     1152    0.008    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      665    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      576    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      576    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      576    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1728    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      576    0.004    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     6027    0.010    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      665    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     6027    0.008    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1152    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    576/7    0.004    0.000    2.766    0.395 <frozen importlib._bootstrap_external>:722(exec_module)
     2738    0.003    0.000    0.400    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      576    0.015    0.000    0.878    0.002 <frozen importlib._bootstrap_external>:793(get_code)
      904    0.003    0.000    0.252    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      576    0.411    0.001    0.675    0.001 <frozen importlib._bootstrap_external>:914(get_data)
